pus	مګر ما ته دا ویل شوې وه چې په دیوال باندېپه رسم نه جوړوم.
pus	یوه ورځ هوایې ځواکونو له هغېڅخه مرسته وغوښتله چې یو نقش جوړ کړي!
pus	دوبی د آم د خوړلو موسم دی - ژیړ ، شین او سره.د سپینې سپین رنګه لاچی د سپینې رنګه پوښانو سره ،  زرغون ، پټي اوبه لرونکی ژېړ هندوا نې ،  اوبه لرونکی توتان چې په خوله کې ویلی کیګی ، اوهو!
zlm	Shivi sedang bersandar di batang pokok apabila tiba-tiba dia melompat ketakutan.
zlm	Haatibhai Si Anak Gajah yang Montel
zlm	Ayah saya sedang         membetulkan rambut saya.
hdy	Iyummaa Iyumi Amaa hurbaata saramoola.
hdy	Qaanana'ima ittomo?
hdy	Igaggina qannanaa'ommo!
kur	Bawgim qîjan, “Ewe müşege s,ha pişt serid!” Daygim îş ta çewî keft e müşege heyway e jîr textege!
kur	لەبەرەوە وا دەڵێن چونکە پشیلەکان خۆیان پاک ڕادەگرن لەڕێی لێستنەوەی لەشی خۆیان، سەرەڕای ئەوەی حەزیشیان لە ئاو نییە.
kur	دش!
kok	म्हाकां भायर पावसांत खेळपाक खूब आवडटा
kok	तागेल्या आवयक सादारण पणान आयकुपाकयेनाशिल्लें पूण ती पियानो वाजोवपाक शिकिल्ली.
kok	भेटीक लायिल्ले लेबल वाचून, ताणें व्हडल्यान म्हणलें.
lke	Baiiruka wamu buli lunaku.
lke	Awo waizire ekyenyanza ekyyokusaatu, ekinene ekimu kyebabaire baboineku.
lke	Basalirewo okuirukira mu Morocco nga babita Senegal ne Mauritania.
kau	Amma, gadegadero burwunza falfalro, kǝrǝnjin sǝ sandiro guljiwo.
kau	Barga kǝnde feronjayero kani duwajane malyera.
kau	Ker!
pnz	Ka rú ru too ɓay a ní  kuriri, kú zi kála yá.
pnz	Ŋgɛ́rɛ mambá hí̧ hɛ̧sâ̧nyri̧ ɓay a kú koro ka tûl ɓil.
pnz	"Gelka Pɔl  kaw nzáʼa lâʼa ka ndárá ndɔ̂ʼɛ ɓay a mbí kpêe, Anansi vbá nzáʼa: "" Pɔl, ndɔ̂ʼɔ ná ɓá  ɗaʼam!"
sjp	टप-टप टिप-टिप नलडात  से पानी निकली छे
sjp	"सोब लाय लोक हाँसते हुय वार पीती इशारा कोर छे,गप्पू कोर छे,गप्पू ग़लत जे कोर छिल।लेकिन कोमल मेडम जान छे कि की कोरवा होबे।वा छोवा ला से कोहले,""गप्पू मेंडी कोरो ""।"
sjp	अगर मी गिरे जउ ते वाँ मोक उठवार तने दौड़े-दौड़े ओच्छे l
alx	Gilondu kajango
alx	"Gwok uwachu, ""Abedu kude ikare mebedu wroth."""
alx	"Kan afoyo ocidhu ka sayu mac man ewacu ire,  ""Cidhi,  iwang rau kan ewok kud ipii kacamu lum."
kxv	Shanti and Arun were good friends.
kxv	ఎంబఅఁ కాలొవి ఆహిఁ ఇయ్య బల్లయఁ డొఇక హోడ్డచె.
kxv	“Didn’t we leave when it was super hot?
lkb	Ekhabire ano,  alia nende buli abundu,  senyolirekho abundu wosi tawe.
lkb	Balangwangwa bari Nanzekho, Situma, Shimuli nende Esita.
lkb	Yifula ikhuwetsanga amaatsi.
bkm	"Ka wa n-kàsi ìbàm."""
bkm	Sɨ̀ a fɨ ntɨ̀mlɨ̀ fɨ̀lvɨ̀ tèyn, bò Abula ɨ chìmi moŋ.
bkm	Kɨ teyn ta àŋena zɨ a jvâ, Kweku Twum ɨ chà' a jvâ ɨ sàs ɨ̀ mu.
njd	जोजो ह जैरा ल बताईसओला तो दाई ह बुलाए हे ।
njd	जोजो अउ जैरा दुनो उदास होगें
njd	पार्टी के बाद जाय के बेरा आईस ।मां अउ जैरा के दिल भर आईस ।
jen	Filimiyan yidi bi a kulɨ fa manɨ.
jen	"Sani he e nyha-binghu de kwasa ni, bi ywah tsile yan, ""E fi mi bakan chuwi pi kan."""
jen	Sa nɨ son nyi ka na sɨ nɨng na, bɨ son nyi bi ve nywi wa bɨ son yidi l∂ be nyi w∂ hɛ2  e fɨ w∂ ni kwɛ hywa Taraba nɨ.
mlg	Indray andro hono, nisy zazalahy iray atao hoe Wayan.
mlg	Niova ihany koa ny torapasika.
mlg	Isa-maraina, vao vaky masoandro dia samy mitondra lakana ny lehilahy handeha hanjono.
sqi	- tha Rohan.
sqi	Tani krijoni këngën tuaj sekrete dhe këndojenisa herë duhet të bëni gjëra të mërzitshme.
sqi	“Duhet të bësh dicka më parë!”- i tha motra emadhe.
anu	Løny man päära wøk kigø.
anu	Obwörë cäänö.
anu	Løny man bääla gø kigø.
kyw	मंतुक जखन ओंय बिछनाए सुतुइसआहिआरड सुरु करली खजुआए!खाउज!
kyw	सेइ तखन साबन राजा बबलि कांहु ले हुंआ आउलाक।राजाञ कहे हेइक ‘‘बेटि ना डराउएं।’’साबन राजाञ आपन फेन सिपाहि के कहलेइन ‘‘पकाक उपर हामला करा।’’
kyw	एघों मनु फेइर फेइर कित-कित खेले पारति।डेगी-डेगी कहन गनेइसआहि उ।एक,दुइ, आर छअसात , आठ, नअ आर दस
lkt	Wičháȟpi líla čhéye.
lkt	Ǧísaŋ é na maštíŋčala kiŋ íŋyaŋkapi.
lkt	Wablúška kiŋ hená čiḱalapi na hú kiŋ óta yukháŋpi čha waȟpe kiŋ yútapi.
ssc	"Yëësu, akamarërrya ko okoghamba igha, ""Ni‑igho erebha kö‑möntö ono akwibheekera ëbhëntö, kasi aanga ukwibheekera ku‑Waryobha."""
ssc	Isyëndë sekaghwa ku‑rirobha irya ku‑ritare, na hano syaamërrë, sekabhorwa ikinyiha sekooma.
ssc	Ekeghokora
clk	Shanti etakey Nyachi keba Aaro go kamachiyega, Ayeney.
clk	Nani meh nga hiloso, aeya mah-mah tazu lakeyga.
clk	Naraa mekari aalombo go khonji kumni.
rag	Yava ni vandu vange vave mumodoga vaziiza kurora zinyama.
rag	Kwarora isimba.
rag	Kwarimu nende mkana wanga mama, mama wange, muyayi witu, vakana vitu vaviri, (vuri inyinga vivika zinguvu zifyanani), nende inze!
bns	अम्मूके लगां कौनौ पिल्ला विल्ला नईं हतो।पर बाने सबमें बोल धरी की बाके लगां है एक पिल्ला।
