zlm	Bahawasanya pengabaian serta penghinaan terhadap hak asasi manusia telah pun mengakibatkan tindakan terkutuk yang telah melanggari perasaan hati umat manusia, dan munculnya sebuah dunia di mana manusia akan menikmati kebebasan berucap dan menganut kepercayaan serta kebebasan dari rasatakut dan citarasa telah pun diisytiharkan sebagai aspirasi toragung seluruh umat manusia.
zlm	كماهوان رعيت هندقله منجادي اساس كويباوأن كراجأن; كماهوان اين هندقله دبوقتيكن ملالؤي ڤيليهنراي بركالا يڠ سجاتي يڠ مان هندقله دأداكن سچارا سجاڬت دان سامرات دان هندقله دأداكن سچارا اوندي سوليت اتاو ملالؤي اچارا ڤڠوندين بيبس يڠ كتارا.
zlm	ستياڤ اورڠ عداله برحق كڤد ڤلواڠ سامرات كڤد ڤرخدمتن عوام دالم نڬاراڽ.
ztu	Wzahahn ra:a'p deree'ch guuny escojeer xi cla's deh educasyoony ga:a'p zhii'inyrih.
ztu	Ra'ta' bu:unny ra:a'p deree'ch te'ihby paag jwua'st pahr ze:e:i'ny nih ruhny bu:unny.
ztu	Ra'ta' bu:unny ra:a'p deree'ch pahr guuny participaar loh cultuuar x:te:e' guee'ihzh.
ykg	тэт омо, аруу, ньаачэн сурэ, тадаатэ эрэльиигийэ хуодэдэ банулги, тэт кэйп уури паайп ҥолул;
ykg	Көдэ йаԝнар тудэ интэриэспэ чоҥнулҥинь профсоюзлэ ԝиэрэҥ, тадаа чилиэн ҥолуол-мораԝ параԝааньэй.
ykg	Научнэй, литературнэй тадаатэ художественнэй чаҕадьэлпэҕа автор ҥодьэ көдэ, таҥ тудэ ԝиэйуолҕа көдиньбандьэ поҕодэлэ-нэмэлэ мэдьуол-мораԝ параԝааньэй.
rgn	la presènta dichiarazioun universèla di dirét umèn cumè ideél comun da cunquistè da tot i popli e da tot al Nazioun,s'u scop che ogni individui e ogni urganismi dla società, tnénd sempra presènta stà Dichiarazioun, u s'impègna a lavurè, s'l'insegnamènt e s'l'educazioun, prì u rispèt at stì dirét e at stlì libertà e ad garantin, miténd in àt iniziativi sempri piò numerousi at caratri naziunèl e internaziunèl, l'universèl e concrét riconoscimènt e rispèt, tent tra i popli di stés Stèd mémbri, quant tra quéi di teritòri che i è sotopost mla su giurisdizioun.
rgn	Ogni persouna la à dirét da fundè dli organizazioun sindachéli e dèi la propia adesioun prì la difoisa di propii interis.
rgn	Considerèd che una concezioun unitèria at stì dirét e at stà libertà la è fondamentèla prì la completa realizazioun at tot stì impégn; L'ASEMBLEA GENERELA
duu	Avzangf gongxhuix lev zufzix ningx canxjiax lixyix lev weivhux juanvlix alf.
